en	meaning_en	example_en
bug	Insect; software error; listening device; to annoy.	The insect crawled across the kitchen counter and disappeared under the cabinet.
build	Physique; body structure; physical form and size.	The athlete's muscular physique resulted from years of dedicated strength training.
builder	Construction worker; creator; developer; construction company.	The construction worker completed the renovation project ahead of schedule last month.
building	Structure; construction; edifice; development.	The tall structure housed offices for hundreds of employees on multiple floors.
bulgogi	Korean marinated beef dish; thin slices of beef in soy-based marinade.	The Korean marinated beef dish is traditionally grilled over open flames.
bulk	Large size; majority; mass; wholesale quantity.	The large size of the shipment required special handling and storage facilities.
bull	Male cattle; aggressive person; stock market rise; papal decree.	The male cattle charged aggressively when provoked by the loud noises nearby.
bullet	A projectile fired from a gun.	The projectile fired from a gun traveled at extremely high velocity through air.
bun	Small bread; hair style; sweet roll; hamburger bread.	The bakery sold small bread rolls perfect for hamburgers and sandwiches daily.
bunch	A number of things growing or fastened together.	A number of things growing or fastened together created a colorful display.
burden	Load; responsibility; weight; hardship.	The heavy load of responsibility weighed on the manager during the crisis.
bureau	Office; department; chest of drawers; agency.	The government office was responsible for investigating financial crimes and fraud.
bureaucracy	System of government by officials; excessive red tape and inefficiency.	The system of government by officials created extensive paperwork and delays.
burial	Funeral interment; grave placement; burying; entombment.	The funeral interment ceremony honored the deceased with traditional religious customs.
burn	Fire; injury; destroy; consume.	The fire injury required immediate medical treatment at the hospital emergency room.
bus	Vehicle; transport; public transit; coach.	The vehicle transported students safely to school every weekday morning throughout year.
bush	Shrub; wild area; thick growth; small tree.	The shrub in the garden grew thick and provided shelter for birds.
business	Commerce; company; trade; affair.	The commerce enterprise provided employment opportunities for dozens of local residents.
businessperson	Person engaged in commercial or industrial business; entrepreneur.	The person engaged in commercial or industrial business expanded operations internationally last year.
bustle	Busy activity; hurried movement; dress padding; commotion.	The busy activity in the market created an atmosphere of energy and excitement.
but	Exception or objection; the end or thick part of something.	He had no exception or objection to the proposed plan for the project.
butler	Chief male servant; household manager; wine steward.	The chief male servant managed the household staff efficiently and professionally every day.
butt	Buttocks; thicker end of something; target of jokes or criticism.	The thicker end of something was reinforced to provide better stability and balance.
butter	Dairy spread; churned cream; cooking fat; yellow spread.	The dairy spread made from churned cream melted perfectly on warm bread.
butterfly	Winged insect; colorful flyer; swimming stroke; metamorphosis insect.	The winged insect with colorful patterns flew gracefully through the summer garden.
button	Fastener; switch; control; badge.	The fastener on his shirt was made of small plastic material.
buyer	A person who purchases something.	The person who purchases something negotiated a favorable price for the property.
buyout	Purchase of controlling interest in company; acquisition of business.	The purchase of controlling interest in company resulted in significant organizational changes.
buzz	Humming sound; excitement; to vibrate; bee sound.	The humming sound of bees filled the air around the flowering garden.
cabbage	Leafy vegetable; round vegetable; green vegetable; cole crop.	The leafy vegetable was chopped and added to the salad for crunch.
cabinet	Cupboard; government; storage; ministry.	The kitchen cupboard stored dishes and glassware on several shelves inside.
cable	Wire; rope; television; communication.	The wire connecting the devices transmitted data at high speeds electronically.
cactus	Desert plant; spiny plant; succulent; water-storing plant.	The desert plant with spines survived months without water in harsh conditions.
cadet	Young trainee in military or police academy; junior member.	The young trainee in military or police academy completed intensive physical conditioning programs.
cafe	Coffee shop; small restaurant; casual eatery; bistro.	The coffee shop served specialty drinks and pastries to customers throughout the day.
cage	Enclosure for animals; prison; protective frame; to confine.	The enclosure for animals provided security and protection at the wildlife sanctuary.
cake	Dessert; sweet; celebration; pastry.	The dessert was decorated with frosting and candles for the birthday celebration.
cakewalk	Very easy task; something accomplished with little effort.	The very easy task required minimal effort to complete successfully and quickly.
calamity	Disaster; catastrophe; great misfortune; tragedy.	The disaster caused widespread destruction and suffering throughout the coastal region.
calcium	Bone mineral; chemical element; white metal; dairy nutrient.	The bone mineral is essential for maintaining strong teeth and skeletal structure.
calculation	Computation; math; estimate; planning.	The mathematical computation determined the trajectory for the rocket launch precisely.
calculus	Branch of mathematics dealing with derivatives and integrals; medical deposit.	The branch of mathematics dealing with derivatives and integrals challenged university students significantly.
calendar	Date system; schedule; planner; almanac.	The date system displayed all appointments and meetings scheduled for the month.
calf	Young cow; leg muscle; baby cattle; lower leg.	The young cow followed its mother closely through the pasture every morning.
California	US west coast state; Golden State; Pacific state; largest US state.	The US west coast state attracts millions of tourists annually with beaches.
call	Shout; telephone conversation; to shout or telephone someone.	The urgent shout for help echoed through the empty building hallways.
calm	Peace; quiet; stillness; tranquil.	The peace and quiet before the storm created an eerie atmosphere outside.
camel	Desert animal; humped mammal; ship of desert; pack animal.	The desert animal can travel long distances without water across harsh terrain.
camera	Photo device; recorder; lens; equipment.	The photo device captured stunning images of the landscape at sunset.
camp	Site; temporary home; group; faction.	The site in the mountains provided shelter for hikers during their journey.
campaign	Effort; drive; election; promotion.	The effort to raise awareness about environmental issues mobilized thousands of volunteers.
campus	School grounds; university; college; site.	The school grounds included numerous buildings and recreational facilities for students.
can	Container; ability; tin; preserve.	The container made of aluminum held beverages and kept them cold.
Canada	North American country; northern neighbor of US; Commonwealth nation.	The North American country is known for its natural beauty and resources.
canal	Artificial waterway; channel; water passage; irrigation ditch.	The artificial waterway connected two major bodies of water for shipping purposes.
canary	Yellow songbird; warning signal; mine detector; cage bird.	The yellow songbird sang beautiful melodies from inside its decorative cage daily.
cancel	Postal mark showing postage paid; to call off or annul.	The postal mark showing postage paid indicated the letter had been processed.
cancellation	Act of calling off or annulling; postal marking; reservation withdrawal.	The act of calling off or annulling the flight disappointed many travelers significantly.
cancer	Disease; tumor; malignancy; illness.	The disease required aggressive treatment and regular monitoring by medical specialists.
candidate	Applicant; nominee; contender; prospect.	The applicant for the position impressed interviewers with extensive experience and qualifications.
candle	Wax light source; flame stick; burning wick; romantic light.	The wax light source provided gentle illumination during the power outage.
candy	Sweet confection; sugar treat; sweets; confectionery.	The sweet confection made from sugar delighted children at the party.
cane	Walking stick; sugar plant; bamboo rod; support stick.	The walking stick provided support and balance for the elderly gentleman.
canoe	Small boat; paddle boat; narrow vessel; light watercraft.	The small boat made from lightweight materials glided smoothly across the lake.
canon	Church law; accepted works; standard; musical round.	The church law governed religious practices and ceremonies throughout the diocese.
canopy	Overhead covering; tree top layer; awning; shelter.	The overhead covering of trees created shade in the forest below.
canvas	Painting cloth; strong fabric; tent material; artistic surface.	The painting cloth stretched over the wooden frame awaited the artist's brushstrokes.
canyon	Deep valley; gorge; ravine; steep-sided valley.	The deep valley carved by water erosion revealed millions of years of geology.
cap	Hat; cover; limit; top.	The hat worn on his head protected him from the bright sunlight.
capability	Ability; capacity; skill; power.	The ability to perform complex tasks efficiently impressed the hiring committee greatly.
capacitance	Ability to store electrical charge; measure of electrical capacity.	The ability to store electrical charge determined the component's effectiveness in circuits.
capacity	Volume; ability; role; maximum.	The volume of the container determined how much liquid it could hold.
cape	Sleeveless cloak; land jutting into sea; promontory.	The sleeveless cloak worn over shoulders provided warmth during cold evening walks.
capital	City; money; investment; major.	The city serving as the seat of government hosted international diplomatic meetings.
capitalism	Economic system; private ownership; free market; business system.	The economic system based on private ownership drove industrial growth and innovation.
captain	Leader; commander; officer; skipper.	The leader of the ship navigated through dangerous waters with skill and experience.
capture	The act of catching or seizing; an arrest or photograph	The capture of the enemy fortress marked a decisive turning point in the military campaign.
car	Car; automobile; vehicle; motor.	The automobile transported the family safely to their vacation destination last summer.
carbon	Chemical element; coal substance; life element; black element.	The chemical element forms the basis of all organic life on Earth.
card	Playing card; credit card; greeting; identity.	The playing card was drawn from the deck during the game.
cardinal	High-ranking Catholic official.	The high-ranking Catholic official presided over the important religious ceremony yesterday afternoon.
care	Attention; concern; treatment; worry.	The attention and concern shown to patients improved their recovery rates significantly.
career	Profession; job; work life; occupation.	The profession she chose required years of education and specialized training.
cargo	Freight; load; shipment; goods.	The freight loaded onto the ship included valuable goods bound for overseas.
caricature	Exaggerated drawing or description.	The exaggerated drawing or description mocked the politician's distinctive features humorously.
carnation	Pink flower; Mother's Day flower; fragrant bloom; buttonhole flower.	The pink flower decorated tables at the wedding reception beautifully all evening.
carnival	Festival; fair; celebration; amusement show.	The festival featured rides and games that entertained families throughout the weekend.
carol	Christmas song; joyful song; to sing happily; hymn.	The Christmas song filled the church with joyful melodies during holiday services.
carp	Freshwater fish; to complain; pond fish; Asian fish.	The freshwater fish swam lazily in the pond near the garden bridge.
carpet	Rug; floor covering; mat; covering.	The rug covering the floor added warmth and comfort to the living room.
carriage	Horse-drawn vehicle; train car; baby stroller; posture.	The horse-drawn vehicle transported passengers through the city streets in historical style.
carrier	Transporter; company; disease spreader; bag.	The transporter delivered packages to customers throughout the metropolitan area daily.
carrot	Orange root vegetable; rabbit food; healthy vegetable; vitamin source.	The orange root vegetable provides vitamin A and fiber for healthy nutrition.
cartoon	Animated film; comic drawing; caricature; funny drawing.	The animated film entertained children with colorful characters and humorous storylines.
case	Situation; container; legal matter; example.	The situation required careful analysis and consideration of all available evidence.
cash	Money; currency; payment; bills.	The money in bills and coins was kept in a secure safe.
cast	Throw; actors; mold; bandage.	The group of actors performing in the play received standing ovations nightly.
caste	A hereditary social class among Hindus; any system of rigid social stratification.	The hereditary social class among Hindus determined occupation and social interactions traditionally.
casting	Selecting actors; molding process.	The selecting actors process for the film took several months to complete.
castle	Fortress; palace; stronghold; manor.	The fortress built on the hilltop defended the kingdom from invaders for centuries.
casual	Informal wear; relaxed person; relaxed; happening by chance.	The informal wear was appropriate for the relaxed weekend gathering with friends.
cat	Feline; pet; animal; kitten.	The feline pet purred contentedly while lounging in the warm afternoon sunlight.
catalog	A complete list of items.	The complete list of items helped customers browse available products easily online.
catalyst	Substance speeding chemical reaction.	The substance speeding chemical reaction enabled the production process to occur efficiently.
catch	Capture; grab; trap; understand.	The capture of fish provided food for the entire coastal village community.
category	A class or division of things.	The class or division of things organized products by type and function.
caterpillar	Butterfly larva; crawling insect; leaf eater; fuzzy worm.	The butterfly larva consumed leaves voraciously before beginning its transformation into chrysalis.
cathedral	Large church; bishop's church; grand religious building.	The large church with impressive architecture dominated the city skyline for centuries.
catholic	Member of Catholic church.	The member of Catholic church attended weekly mass and religious education classes.
cattle	Cows and bulls; livestock; bovine animals; farm animals.	The cows and bulls grazed peacefully in the pasture throughout the summer.
cauliflower	White vegetable with compact head.	The white vegetable with compact head was steamed and served with dinner.
cause	Reason; purpose; make happen; source.	The reason for the malfunction was identified after thorough investigation and analysis.
caution	Care; warning; prudence; alertness.	The care taken when handling dangerous materials prevented accidents in the laboratory.
cavalry	Soldiers fighting on horseback.	The soldiers fighting on horseback charged across the battlefield in historical warfare.
cave	Underground hollow; cavern; den; rock shelter.	The underground hollow provided shelter for ancient peoples thousands of years ago.
ceasefire	Temporary stop in fighting.	The temporary stop in fighting allowed humanitarian aid to reach affected populations.
cedar	Type of evergreen tree.	The type of evergreen tree provided aromatic wood for construction and furniture.
ceiling	Roof; top; limit; maximum.	The roof covering the room featured ornate decorative plasterwork from the period.
celebration	Party; festival; commemoration; joy.	The party marking the anniversary brought together family and friends joyfully.
celebrity	Famous person; star; well-known person; public figure.	The famous person attracted media attention wherever they appeared in public.
celery	Green vegetable with long stalks.	The green vegetable with long stalks added crispy texture to the salad.
cell	Room; biology unit; prison; phone.	The room in the prison confined inmates during the nighttime hours securely.
cellar	Basement; underground storage; wine storage; lower room.	The basement below the house stored wine bottles at optimal temperature conditions.
cello	Large stringed musical instrument.	The large stringed musical instrument produced deep resonant tones during the concert.
cement	Building material; concrete powder; bonding substance; mortar.	The building material mixed with water hardened to form strong foundations.
censor	Person examining content for approval.	The person examining content for approval removed objectionable material from the publication.
censorship	Suppression of speech or writing.	The suppression of speech or writing limited artistic expression in authoritarian regimes.
census	Population count; official survey; demographic study; head count.	The population count conducted every decade provided important demographic data for planning.
cent	Penny; one hundredth of dollar; small coin; minimal amount.	The penny represents one hundredth of dollar in the currency system.
center	Middle; facility; focus; hub.	The middle point of the circle was marked precisely with a compass.
centimeter	Metric length unit; one hundredth meter; small measurement.	The metric length unit equals one hundredth meter in standard measurement systems.
century	Hundred years; period; era; age.	The hundred years of peace brought prosperity and cultural development to society.
cereal	Breakfast food; grain; morning meal; grain crop.	The breakfast food made from grains provided nutrition and energy every morning.
ceremonial	A formal ceremony or ritual; a system of rites	The traditional ceremonial included ancient rites passed down through countless generations of tribal leaders.
ceremony	Ritual; event; service; celebration.	The ritual celebrating the wedding united two families in traditional cultural fashion.
certainty	Sure thing; confidence; assurance; definite fact.	The sure thing provided confidence that the project would succeed as planned.
certificate	Official document; diploma; proof; credential.	The official document confirmed completion of the training program with high marks.
chain	Links; series; store group; connection.	The links of metal connected together to form a strong barrier.
chair	Seat; furniture; position; leadership.	The seat with four legs and a backrest provided comfortable support.
chairman	Board leader; presiding officer; committee head; meeting leader.	The board leader presided over meetings and guided organizational strategic decisions effectively.
chalk	Writing material; white substance; blackboard marker; limestone.	The writing material made from limestone was used on the blackboard daily.
challenge	Difficulty; contest; test; dare.	The difficulty presented an opportunity to demonstrate skill and problem-solving abilities.
chamber	Room; enclosed space; legislative body; heart section.	The room used for formal meetings featured elegant furnishings and historical portraits.
champagne	Sparkling wine; celebration drink; French wine; bubbly.	The sparkling wine from France was served to celebrate the special occasion.
champion	Winner; defender; supporter; best.	The winner of the tournament received a trophy and prize money.
championship	Competition for title; tournament; contest; final competition.	The competition for title attracted athletes from around the world to compete.
chance	Opportunity; luck; possibility; risk.	The opportunity to succeed presented itself unexpectedly during the business meeting.
chancellor	Head of government or university.	The head of government or university delivered the commencement address to graduates.
change	Alteration; money; transformation; shift.	The alteration in policy affected how employees performed their daily duties.
channel	Passage; TV station; route; medium.	The passage for water flow was deepened to allow larger ships through.
chapati	A thin pancake of unleavened whole wheat bread cooked on a griddle, originating from India	The thin pancake of unleavened whole wheat bread cooked on a griddle, originating from India, accompanied the curry.
chapel	Small church; prayer room; religious building; worship place.	The small church on campus provided a quiet space for prayer and reflection.
chapter	A main division of a book, typically with a number or title; a period of time in history or a person's life.	The main division of a book, typically with a number or title, introduced new plot developments.
character	Person; trait; letter; role.	The person in the story demonstrated courage and integrity throughout the narrative.
characteristic	Typical feature; trait; quality; distinctive attribute.	The typical feature distinguishing the species made identification easier for researchers studying wildlife.
charcoal	Burnt wood; drawing material; black substance; fuel.	The burnt wood used for drawing created dramatic black and gray tones.
charge	Fee; accusation; attack; responsibility.	The fee for services was clearly listed on the invoice statement.
charity	Kindness; organization; donation; goodwill.	The kindness shown to others reflected deep compassion for those in need.
charm	Attractiveness; lucky object; to delight; appeal.	The attractiveness of her personality made friends easily wherever she went.
chart	Graph; map; diagram; plan.	The graph displayed data trends clearly for analysis and presentation purposes.
charter	Written grant of rights.	The written grant of rights established the organization's legal authority and privileges.
chase	Pursuit; hunt; to pursue; follow; hunt; run after.	The pursuit of the suspect through city streets ended in arrest.
cheat	Fraud; dishonest person; act dishonestly to gain advantage.	The fraud committed during the examination resulted in immediate expulsion from school.
check	Verify; payment; examination; control.	The verify action confirmed that all safety procedures were followed correctly.
checkup	A thorough medical or dental examination to detect any problems; a routine health inspection.	The thorough medical or dental examination to detect any problems revealed excellent health status.
cheek	Side of face; impudence; boldness; facial part.	The side of face flushed red with embarrassment during the speech.
cheer	Shout of encouragement; happiness.	The shout of encouragement from fans motivated athletes to perform their best.
cheese	Dairy product; food; milk product.	The dairy product made from milk aged for months in cool caves.
chemical	Substance; compound; relating to chemistry; synthetic material.	The substance used in the laboratory required careful handling and proper safety equipment.
chemist	Scientist studying chemistry.	The scientist studying chemistry made important discoveries about molecular structures and reactions.
chemistry	Science of matter; chemical study; attraction between people.	The science of matter explains how substances interact and transform through reactions.
cherry	Red fruit; tree fruit; sweet fruit; spring blossom.	The red fruit grew abundantly on trees in the orchard every spring.
chess	Board game; strategy game; king and queen game; intellectual game.	The board game requires strategic thinking and planning several moves ahead.
chest	Torso; box; container; breast.	The torso expanded with each deep breath taken during the meditation exercise.
chestnut	An edible nut that develops in a prickly case on a chestnut tree; a reddish-brown color.	The edible nut that develops in a prickly case on a chestnut tree roasted perfectly over fire.
chew	Bite and grind with teeth.	The bite and grind with teeth action helps digest food properly before swallowing.
chick	Young bird, especially chicken.	The young bird, especially chicken, followed the mother hen around the farmyard.
chicken	Poultry; bird; meat; coward.	The poultry raised on the farm provided fresh eggs every morning consistently.
chickpea	Round edible seed; garbanzo bean.	The round edible seed is used to make hummus and other dishes.
chief	Leader; head; main; primary.	The leader of the organization made important decisions affecting everyone's work.
child	Child; kid; young person; offspring.	The child asked questions constantly about everything observed in the natural world.
childhood	Youth; early years; innocence; past.	The youth and early years shaped personality and values for entire lifetime.
chill	Cold feeling; relaxed mood; feeling of fear or unease.	The cold feeling penetrated through clothing on the winter morning walk.
chime	Melodious ringing sound; set of bells; harmonious sound.	The melodious ringing sound announced visitors arriving at the front door.
chin	Lower jaw; face bottom; beard area; jaw point.	The lower jaw protruded slightly forward giving the face a determined appearance.
China	Asian country; porcelain; dinnerware; Middle Kingdom.	The Asian country has ancient history spanning thousands of years of civilization.
Chinese	From China; Chinese language; Asian culture; Chinese person.	The language from China uses characters instead of an alphabet writing system.
chip	Fragment; computer part; snack; gambling token.	The fragment of wood flew off when the axe struck the log.
chlorine	Chemical element used in water treatment and bleaching; green gas.	The chemical element used in water treatment and bleaching sanitized the swimming pool effectively.
chocolate	Sweet brown treat; cocoa product; candy; dessert.	The sweet brown treat made from cocoa beans melted smoothly on tongue.
choice	Option; selection; decision; preference.	The option selected from available alternatives determined the project's direction completely.
choir	Singing group; church singers; chorus; vocal ensemble.	The singing group performed harmonious music at the religious service every Sunday.
choke	Device controlling airflow; to block breathing passage; to fail under pressure.	The device controlling airflow regulated engine performance in cold weather conditions.
chop	Cutting blow; piece cut off; meat cut from ribs.	The cutting blow with the axe split the firewood cleanly in half.
chord	Musical combination of notes; straight line joining two points on curve.	The musical combination of notes created harmony in the symphony composition.
chore	Routine household task; unpleasant but necessary job.	The routine household task of washing dishes was completed after every meal.
chorus	Group of singers; refrain of song; simultaneous utterance.	The group of singers performed the refrain together during the musical production.
christ	Title of Jesus as Messiah; anointed one in Christianity.	The title of Jesus as Messiah represents salvation in Christian theological teaching.
christian	Follower of Christ; relating to Christianity; believer.	The follower of Christ attended church services and bible study groups regularly.
christianity	Religion of Jesus; Christian faith; church religion.	The religion of Jesus spread throughout the world over two thousand years.
Christmas	December 25 holiday; Christ's birth celebration; winter festival.	The December 25 holiday celebration brought families together to exchange gifts joyfully.
chromosome	DNA structure; genetic carrier; heredity unit; cell component.	The DNA structure containing genetic information determines inherited traits in living organisms.
chronicle	Historical record; account; story; time-ordered narrative.	The historical record documented important events in chronological order for future generations.
chuck	Gentle tap under chin; device holding workpiece in lathe.	The gentle tap under chin expressed affection in a playful friendly manner.
chump	Foolish person easily deceived; thick end of meat joint.	The foolish person easily deceived lost money in an obvious investment scam.
church	Religious building; congregation; worship; faith.	The religious building served the community as a place of worship for centuries.
cider	Alcoholic drink from fermented apples; apple juice.	The alcoholic drink from fermented apples tasted crisp and refreshing on autumn evenings.
cinema	Movie theater; art of filmmaking; motion pictures collectively.	The movie theater showed classic films from the golden age of Hollywood.
circle	Round shape; group; cycle; ring.	The round shape drawn on paper demonstrated geometric principles in mathematics class.
circulation	Blood flow; distribution; movement around; spread.	The blood flow through vessels delivers oxygen and nutrients to body tissues.
circumstance	Situation; condition; context; environment.	The situation surrounding the decision required careful consideration of many complex factors.
circus	Entertainment show; acrobat performance; tent show; animal acts.	The entertainment show featured acrobats and performers who amazed audiences with incredible skills.
citation	Quotation or reference; official summons; award or commendation.	The quotation or reference supported the argument presented in the academic research paper.
citizen	Resident; national; member; inhabitant.	The resident of the country enjoyed rights and responsibilities under constitutional law.
citizenship	National membership; civic status; nationality; legal belonging.	The national membership granted certain privileges and obligations to individuals legally residing there.
city	City; town; urban area; metropolis.	The city with tall buildings housed millions of residents in dense neighborhoods.
civility	Polite behavior; courteous conduct; basic politeness.	The polite behavior demonstrated respect for others in social and professional interactions.
civilization	Advanced society; culture; human development; organized society.	The advanced society developed complex cultural and technological achievements over many centuries.
claim	State something is true or demand as a right.	The state something is true or demand as a right required supporting documentation and evidence.
clam	Shellfish; bivalve; seafood; ocean mollusk.	The shellfish was harvested from coastal waters and prepared for dinner.
clamor	Loud confused noise; vehement protest; public outcry.	The loud confused noise from protesters filled the streets during the demonstration.
clamp	Gripping tool; fastener; to hold tightly; vice.	The gripping tool held pieces firmly together while adhesive dried completely.
clap	Hand strike; applause; thunder sound; to applaud.	The hand strike produced a sharp sound that echoed in the auditorium.
clash	Conflict; collision; disagreement; loud sound.	The conflict between opposing groups resulted in violence and property damage.
class	Group; lesson; category; social level.	The group of students learned about history and culture from experienced teachers.
classic	Traditional; timeless; standard; vintage.	The traditional work of literature has been studied by generations of scholars.
classmate	Fellow student in same class; school companion.	The fellow student in same class became a trusted friend throughout school years.
classroom	Learning room; school room; education space.	The learning room contained desks and educational materials for students to use.
clatter	Rattling sound; continuous rattling noise.	The rattling sound of dishes being washed echoed through the kitchen.
clause	Contract section; sentence part; provision; stipulation.	The contract section specified terms and conditions that both parties agreed upon.
claw	Sharp nail; talon; animal nail; gripping appendage.	The sharp nail on the animal's paw scratched the wooden floor surface.
clay	Fine-grained earth used for making pottery.	The fine-grained earth used for making pottery was shaped into beautiful vessels.
cleaning	Process of removing dirt; housework; maintenance activity.	The process of removing dirt from surfaces kept the house hygienic and pleasant.
cleanser	Substance used for cleaning; detergent; purifying agent.	The substance used for cleaning removed tough stains from kitchen countertops effectively.
cleanup	Act of cleaning up; environmental restoration; thorough cleaning.	The act of cleaning up removed all trash from the beach area.
clearance	Permission; space; sale; removal.	The permission to access restricted areas required proper security authorization procedures.
clearing	Open space in forest; act of clearing; glade.	The open space in forest provided a perfect location for camping overnight.
clench	Tight grip; act of closing tightly; firm grasp.	The tight grip on the steering wheel revealed the driver's nervous tension.
clergy	Religious officials; priests and ministers; ordained religious leaders.	The religious officials conducted ceremonies and provided spiritual guidance to congregation members.
clergyman	Religious minister; priest; pastor; church official.	The religious minister delivered sermons and counseled families during difficult times regularly.
clerical	Office work; relating to clergy; administrative tasks.	The office work included filing documents and managing administrative correspondence for the department.
clerk	Office worker; shop assistant; administrative employee.	The office worker processed paperwork and assisted customers with inquiries every day.
client	Customer; patron; user; buyer.	The customer hired professional services to complete the complex project successfully.
cliff	Steep rock face; precipice; sheer drop.	The steep rock face rose hundreds of feet above the ocean below.
climate	Weather; atmosphere; environment; conditions.	The weather patterns in the region influenced agricultural practices and crop selection.
climax	Peak; highest point; culmination; most intense moment.	The peak of tension in the story occurred during the final chapter.
climb	Ascent; act of going up; go up or ascend.	The ascent up the mountain required strength and endurance from experienced hikers.
clinic	Medical facility; outpatient department; specialized treatment center.	The medical facility provided healthcare services to underserved community members without insurance.
clip	Fastening device; short video; cutting action.	The fastening device held papers together securely in the organized filing system.
cloak	Cape; outer garment; covering; disguise.	The cape worn for warmth covered the traveler completely during cold nights.
clock	Timepiece; timer; schedule; time.	The timepiece on the wall displayed hours and minutes with precise accuracy.
close	End; conclusion; proximity; near; shut; intimate.	The end of the meeting came suddenly when the chairman adjourned unexpectedly.
closet	Wardrobe; cupboard; storage; private.	The wardrobe contained clothing organized by season and type for easy access.
closure	Act of closing; psychological resolution; fastening device.	The act of closing the facility disappointed employees who lost their jobs.
cloth	Fabric; material; textile; covering.	The fabric used for cleaning was soft and absorbent for delicate surfaces.
clothes	Clothing; garments; apparel; dress.	The clothing worn in winter protected against cold temperatures and harsh winds.
clothing	Garments; apparel; items worn on body.	The garments donated to charity helped families in need during difficult times.
cloud	Sky formation; computing; vapor; mass.	The sky formation blocked sunlight and brought afternoon rain showers to area.
clover	Three-leafed plant; symbol of luck; pasture plant.	The three-leafed plant grew abundantly in the meadow where animals grazed.
club	Organization; weapon; group; association.	The organization for book enthusiasts met monthly to discuss literature and authors.
clue	Hint or indication; evidence helping solve mystery.	The hint or indication helped detectives solve the mysterious crime case eventually.
clutch	Tight grip; car transmission device; small bag; group of eggs.	The tight grip on the handle showed determination to hold on firmly.
coach	Trainer; bus; instructor; vehicle.	The trainer developed exercise programs that improved athletes' performance and fitness levels.
coal	Black combustible rock; fuel; burning ember.	The black combustible rock was mined underground and used as fuel.
coalition	Alliance; temporary partnership; political union.	The alliance formed between parties created political power to pass legislation.
coast	Shore; seaside; beach; edge.	The shore along the ocean featured beautiful beaches and rocky cliffs.
coat	Jacket; covering; layer; outerwear.	The jacket provided warmth and protection from cold winter weather conditions.
coating	Protective layer; surface covering; paint or varnish.	The protective layer applied to metal surfaces prevented rust and corrosion damage.
cock	Male rooster; male bird; valve or tap.	The male rooster crowed loudly at dawn every morning without fail.
cocktail	Mixed alcoholic drink; appetizer; mixture of elements.	The mixed alcoholic drink combined various spirits and flavoring ingredients creatively.
cocoa	Chocolate powder; hot chocolate drink; cacao bean product.	The chocolate powder mixed with hot milk created a warm comforting beverage.
coconut	Tropical fruit; palm tree fruit; hard-shelled nut.	The tropical fruit contains sweet white meat and refreshing water inside shell.
cod	Type of fish; Atlantic white fish; food fish.	The type of fish found in Atlantic waters provided mild-flavored white meat.
code	System; rules; programming; cipher.	The system of symbols represented information in secure encrypted computer communications.
coffee	Drink; beverage; bean; caffeine.	The drink brewed from roasted beans provided caffeine for morning alertness.
coffin	Burial box; casket; container for dead body.	The burial box made from polished wood contained the deceased during funeral.
coin	Money; currency; metal disk; change.	The money in circular metal form was collected as a numismatic hobby.
coincidence	Chance occurrence; simultaneous events; accidental correspondence.	The chance occurrence of two events happening simultaneously seemed too unlikely naturally.
cola	Carbonated soft drink; flavored soda; dark fizzy beverage.	The carbonated soft drink was served ice-cold at the summer picnic.
cold	Low temperature; illness; chilliness.	The low temperature outside required wearing warm layers of insulated clothing.
collaboration	Working together; cooperation; joint effort.	The working together of scientists from different countries advanced medical research significantly.
collapse	Sudden failure; falling down; breakdown.	The sudden failure of the bridge caused major disruption to transportation systems.
collar	Neck part of garment; band around neck; restraining device.	The neck part of garment was starched to maintain crisp appearance.
collateral	Security pledged for loan repayment.	The security pledged for loan repayment included property and valuable assets.
colleague	Coworker; associate; partner; peer.	The coworker shared insights and collaborated effectively on team projects regularly.
collection	Gathering; accumulation; group; set.	The gathering of rare stamps represented years of dedicated searching and acquisition.
college	School; university; education; institution.	The school offering higher education prepared students for professional careers successfully.
colonel	Military officer; army rank; high-ranking soldier; commander.	The military officer commanded troops with strategic expertise during critical operations overseas.
colony	Settlement; territory under foreign control; group of organisms.	The settlement established in foreign territory grew into a thriving community.
color	Hue; tint; shade; appearance.	The hue of blue paint covered walls completely transforming the room's appearance.
coloring	Process of adding color.	The process of adding color to illustrations enhanced the visual appeal significantly.
Colosseum	Large ancient Roman amphitheater.	The large ancient Roman amphitheater hosted gladiatorial contests and public spectacles centuries ago.
column	Pillar; article; support; vertical.	The pillar made of marble supported the building's architectural structure magnificently.
comb	Toothed device for hair; honeycomb structure; rooster crest.	The toothed device for hair removed tangles and created smooth styling results.
combat	Fighting; battle; warfare; to fight against.	The fighting between military forces resulted in casualties on both sides.
combination	Mixture; blend; code; union.	The mixture of ingredients created a unique flavor profile in cuisine.
comedy	Funny show; humor; entertainment; amusing performance.	The funny show entertained audiences with clever jokes and humorous situations nightly.
comer	A person who arrives somewhere; a person or thing likely to be a success	The person who arrives somewhere found all seats already taken at event.
comet	Celestial body with bright tail.	The celestial body with bright tail appeared in the night sky periodically.
comfort	Physical ease; consolation; luxury; pleasant feeling.	The physical ease provided by soft pillows improved quality of sleep significantly.
comic	Funny; cartoon; comedian; humorous story.	The funny illustrated story entertained readers with superhero adventures and humor.
command	Order; control; instruction; authority.	The order given by the officer directed soldiers to advance forward immediately.
commander	Military leader; person in charge; chief; director.	The military leader made tactical decisions during combat operations with experienced judgment.
