en	meaning_en	fr_translation	fr_gender	de_translation	de_gender	es_translation	es_gender	it_translation	it_gender	pt_translation	pt_gender	ru_translation	ru_gender	ar_translation	ar_gender	hi_translation	hi_gender
blue	The color blue; sky color; ocean color; sadness.	bleu	m	Blau	n	azul	m	blu	m	azul	m	синий	m	أزرق	m	नीला	m
blueberry	Small blue edible berry.	myrtille	f	Blaubeere	f	arándano	m	mirtillo	m	mirtilo	m	черника	f	توت أزرق	m	ब्लूबेरी	f
blur	Unclear image; lack of sharpness.	flou	m	Unschärfe	f	desenfoque	m	sfocatura	f	desfoque	m	размытость	f	ضبابية	f	धुंधलापन	m
blush	Reddening of face from embarrassment.	rougeur	f	Erröten	n	rubor	m	rossore	m	rubor	m	румянец	m	احمرار	m	लाली	f
board	Plank; committee; get on; food.	planche	f	Brett	n	tabla	f	tavola	f	tábua	f	доска	f	لوح	m	बोर्ड	m
boardroom	Room for board meetings.	salle de réunion	f	Konferenzraum	m	sala de juntas	f	sala riunioni	f	sala de reuniões	f	конференц-зал	m	قاعة اجتماعات	f	बोर्डरूम	m
boat	Vessel; ship; watercraft; craft.	bateau	m	Boot	n	barco	m	barca	f	barco	m	лодка	f	قارب	m	नाव	f
body	Physique; corpse; organization; main part.	corps	m	Körper	m	cuerpo	m	corpo	m	corpo	m	тело	n	جسد	m	शरीर	m
bog	Wetland with acidic water.	marécage	m	Moor	n	pantano	m	palude	f	pântano	m	болото	n	مستنقع	m	दलदल	m
boil	Heated bubbling of liquid.	ébullition	f	Sieden	n	ebullición	f	ebollizione	f	fervura	f	кипение	n	غليان	m	उबाल	m
bolt	Metal fastener; sudden movement.	boulon	m	Bolzen	m	perno	m	bullone	m	parafuso	m	болт	m	برغي	m	बोल्ट	m
bomb	Explosive; failure; attack; disaster.	bombe	f	Bombe	f	bomba	f	bomba	f	bomba	f	бомба	f	قنبلة	f	बम	m
bombardment	Continuous attack with bombs.	bombardement	m	Bombardierung	f	bombardeo	m	bombardamento	m	bombardeio	m	бомбардировка	f	قصف	m	बमबारी	f
bomber	Aircraft designed to drop bombs.	bombardier	m	Bomber	m	bombardero	m	bombardiere	m	bombardeiro	m	бомбардировщик	m	قاذفة	f	बमवर्षक	m
bond	Connection; tie; security; relationship.	lien	m	Bindung	f	vínculo	m	legame	m	laço	m	связь	f	رابطة	f	बंधन	m
bone	Skeleton part; structure; complaint; essence.	os	m	Knochen	m	hueso	m	osso	m	osso	m	кость	f	عظم	m	हड्डी	f
bonus	Extra payment or benefit.	bonus	m	Bonus	m	bono	m	bonus	m	bônus	m	бонус	m	مكافأة	f	बोनस	m
boo	Exclamation to frighten or disapprove.	houée	f	Buh	n	abucheo	m	fischio	m	vaia	f	освистание	n	صيحة استهجان	f	बू	m
book	Book; written work; publication; volume.	livre	m	Buch	n	libro	m	libro	m	livro	m	книга	f	كتاب	m	पुस्तक	f
bookkeeping	Recording of financial transactions.	comptabilité	f	Buchführung	f	contabilidad	f	contabilità	f	contabilidade	f	бухгалтерия	f	مسك الدفاتر	m	बहीखाता	m
boom	Loud deep sound; period of prosperity.	boum	m	Boom	m	auge	m	boom	m	boom	m	бум	m	ازدهار	m	उछाल	m
boot	Footwear; start up; kick; trunk.	botte	f	Stiefel	m	bota	f	stivale	m	bota	f	сапог	m	حذاء	m	बूट	m
booth	Small enclosed compartment.	cabine	f	Kabine	f	cabina	f	cabina	f	cabine	f	кабина	f	كشك	m	बूथ	m
border	Boundary; edge; frontier; limit.	fontière	f	Grenze	f	frontera	f	confine	m	fronteira	f	граница	f	حدود	f	सीमा	f
borderline	Dividing line; barely acceptable.	limite	f	Grenzlinie	f	línea fronteriza	f	linea di confine	f	linha limítrofe	f	граничная линия	f	خط فاصل	m	सीमारेखा	f
borrowing	Act of taking temporarily.	emprunt	m	Ausleihe	f	préstamo	m	prestito	m	empréstimo	m	заём	m	اقتراض	m	उधार	m
borscht	Eastern European beet soup.	bortsch	m	Borschtsch	m	borscht	m	borscht	m	borscht	m	борщ	m	بورشت	m	बोर्श्च	m
boss	Manager; supervisor; leader; chief.	patron	m	Chef	m	jefe	m	capo	m	chefe	m	начальник	m	رئيس	m	बॉस	m
botany	Scientific study of plants.	botanique	f	Botanik	f	botánica	f	botanica	f	botânica	f	ботаника	f	علم النبات	m	वनस्पति विज्ञान	m
bother	Trouble; annoyance.	ennui	m	Ärger	m	molestia	f	fastidio	m	aborrecimento	m	беспокойство	n	إزعاج	m	परेशानी	f
bottle	Container for liquids.	bouteille	f	Flasche	f	botella	f	bottiglia	f	garrafa	f	бутылка	f	زجاجة	f	बोतल	f
bottom	Lowest part; base; buttocks; foundation.	fond	m	Boden	m	fondo	m	fondo	m	fundo	m	дно	n	قاع	m	तल	m
bounce	Rebound after hitting surface.	rebond	m	Aufprall	m	rebote	m	rimbalzo	m	ressalto	m	отскок	m	ارتداد	m	उछाल	m
bounty	Reward; abundance.	prime	f	Belohnung	f	recompensa	f	ricompensa	f	recompensa	f	щедрость	f	مكافأة	f	इनाम	m
bouquet	Arrangement of flowers.	bouquet	m	Strauß	m	ramo	m	bouquet	m	buquê	m	букет	m	باقة زهور	f	गुलदस्ता	m
bourgeois	Middle-class person; conventional.	bourgeois	m	Bürger	m	burgués	m	borghese	m	burguês	m	буржуа	m	برجوازي	m	बुर्जुआ	m
bout	Short period; fighting match.	combat	m	Kampf	m	combate	m	incontro	m	combate	m	бой	m	نوبة	f	मुकाबला	m
bowel	Part of intestine.	intestin	m	Darm	m	intestino	m	intestino	m	intestino	m	кишечник	m	أمعاء	f	आंत	f
bowl	Dish; container; stadium; game.	bol	m	Schüssel	f	cuenco	m	ciotola	f	tigela	f	чаша	f	وعاء	m	कटोरा	m
bowling	Sport of rolling ball at pins.	bowling	m	Bowling	n	bolos	m	bowling	m	boliche	m	боулинг	m	بولينغ	m	बोलिंग	f
box	Container; fight; compartment; package.	boîte	f	Kiste	f	caja	f	scatola	f	caixa	f	коробка	f	صندوق	m	डिब्बा	m
boxing	Sport of fighting with fists.	boxe	f	Boxen	n	boxeo	m	pugilato	m	boxe	m	бокс	m	ملاكمة	f	मुक्केबाज़ी	f
boy	Male child; lad; son; youth.	garçon	m	Junge	m	niño	m	ragazzo	m	menino	m	мальчик	m	ولد	m	लड़का	m
boyhood	Period of being boy.	enfance	f	Kindheit	f	niñez	f	infanzia	f	infancia	f	детство	n	طفولة	f	बचपन	m
brace	Support structure; pair.	attelle	f	Klammer	f	abrazadera	f	staffa	f	braçadeira	f	скоба	f	دعامة	f	ब्रेस	m
bracelet	Jewelry worn around wrist.	bracelet	m	Armband	n	pulsera	f	braccialetto	m	pulseira	f	браслет	m	سوار	m	कंगन	m
brag	Boastful talk; speaking proudly about oneself; showing off.	vantardise	f	Prahlerei	f	fanfarronada	f	vanteria	f	gabolíce	f	хвастовство	n	تفاخر	m	शेखी	f
braid	Woven strands of hair or thread.	tresse	f	Zopf	m	trenza	f	treccia	f	trança	f	коса	f	ضفيرة	f	चोटी	f
brain	Organ; mind; intelligence; intellect.	cerveau	m	Gehirn	n	cerebro	m	cervello	m	cérebro	m	мозг	m	دماغ	m	मस्तिष्क	m
brake	Device for slowing or stopping.	frein	m	Bremse	f	freno	m	freno	m	freio	m	тормоз	m	فرامل	f	ब्रेक	m
branch	Limb; division; office; department.	branche	f	Zweig	m	rama	f	ramo	m	filial	f	ветвь	f	فرع	m	शाखा	f
brand	A type of product made by a company.	marque	f	Marke	f	marca	f	marca	f	marca	f	бренд	m	علامة تجارية	f	ब्रांड	m
brandy	Alcoholic spirit distilled from wine.	cognac	m	Weinbrand	m	brandy	m	brandy	m	conhaque	m	бренди	n	براندي	m	ब्रांडी	f
brass	Yellow metal alloy; musical instruments.	laiton	m	Messing	n	latón	m	ottone	m	latão	m	латунь	f	نحاس أصفر	m	पीतल	m
brazil	Large South American country.	Brésil	m	Brasilien	n	Brasil	m	Brasile	m	Brasil	m	Бразилия	f	البرازيل	f	ब्राज़ील	m
breach	Gap or break; violation.	brèche	f	Bresche	f	brecha	f	breccia	f	brecha	f	пролом	m	ثغرة	f	उल्लंघन	m
bread	Food; loaf; money; sustenance.	pain	m	Brot	n	pan	m	pane	m	pão	m	хлеб	m	خبز	m	रोटी	f
breadth	Width; extent from side to side.	largeur	f	Breite	f	anchura	f	larghezza	f	largura	f	ширина	f	عرض	m	चौड़ाई	f
break	Break; pause; fracture; opportunity.	pause	f	Pause	f	pausa	f	pausa	f	pausa	f	перерыв	m	استراحة	f	अवकाश	m
breakdown	Failure; detailed analysis.	panne	f	Ausfall	m	averia	f	guasto	m	pane	f	поломка	f	عطل	m	खराबी	f
breakfast	First meal of the day.	petit déjeuner	m	Frühstück	n	desayuno	m	colazione	f	café da manhã	m	завтрак	m	إفطار	m	नाश्ता	m
breast	Chest; bosom; meat; front.	poitrine	f	Brust	f	pecho	m	seno	m	peito	m	грудь	f	صدر	m	छाती	f
breath	Air; respiration; life; moment.	souffle	m	Atem	m	aliento	m	respiro	m	respiração	f	дыхание	n	نفس	m	साँस	m
breeze	A gentle wind; a light air current; something easy to do.	brise	f	Brise	f	brisa	f	brezza	f	brisa	f	ветерок	m	نسيم	m	हवा	f
brew	Beverage made by brewing.	brassage	m	Gebräu	n	brebaje	m	bevanda	f	infusão	f	напиток	m	مشروب	m	काढ़ा	m
bribe	Payment to influence improperly.	pot-de-vin	m	Bestechung	f	soborno	m	tangente	f	suborno	m	взятка	f	رشوة	f	रिश्वत	f
brick	Building block; material; solid; reliable.	brique	f	Ziegel	m	ladrillo	m	mattone	m	tijolo	m	кирпич	m	طوبة	f	ईंट	m
bride	A woman on her wedding day.	mariée	f	Braut	f	novia	f	sposa	f	noiva	f	невеста	f	عروس	f	दुल्हन	f
bridge	Connection; span; link; crossing.	pont	m	Brücke	f	puente	m	ponte	m	ponte	f	мост	m	جسر	m	पुल	f
brief	Short; summary; concise; quick.	bref	m	Brief	m	informe	m	breve	m	resumo	m	краткость	f	موجز	m	संक्षेप	m
brilliant	Very bright; exceptionally clever.	éclat	m	Glanz	m	brillantez	f	brillantezza	f	brilho	m	блеск	m	لمعان	m	चमक	m
brink	Edge of steep place; verge.	bord	m	Rand	m	borde	m	orlo	m	borda	f	край	m	حافة	f	किनारा	m
britain	Island nation in Europe.	Grande-Bretagne	f	Großbritannien	n	Gran Bretaña	f	Gran Bretagna	f	Grã-Bretanha	f	Великобритания	f	بريطانيا	f	ब्रिटेन	m
broadcast	Transmission of programs on radio or television.	émission	f	Sendung	f	transmisión	f	trasmissione	f	transmissão	f	вещание	n	بث	m	प्रसारण	m
broadcasting	Transmitting programs; radio/TV transmission; mass communication.	radiodiffusion	f	Rundfunk	m	radiodifusión	f	radiodiffusione	f	radiodifusão	f	вещание	n	إذاعة	f	प्रसारण	m
broccoli	Green vegetable; tree-like vegetable; healthy vegetable; cabbage family.	brocoli	m	Brokkoli	m	brócoli	m	broccoli	m	brócolis	m	брокколи	f	بروكلي	m	ब्रोकोली	f
broker	Agent; middleman; dealer; negotiator.	courtier	m	Makler	m	corretor	m	mediatore	m	corretor	m	брокер	m	وسيط	m	दलाल	m
bronze	Copper-tin alloy; third place medal; brown metal; ancient metal.	bronze	m	Bronze	f	bronce	m	bronzo	m	bronze	m	бронза	f	برونز	m	कांसा	m
brook	Small stream; creek; to tolerate; rivulet.	ruisseau	m	Bach	m	arroyo	m	ruscello	m	riacho	m	ручеёк	m	جدول	m	झरना	m
broth	Soup liquid; stock; meat or vegetable water; bouillon.	bouillon	m	Brühe	f	caldo	m	brodo	m	caldo	m	бульон	m	مرق	f	रस	m
brother	Male sibling; fellow; comrade; peer.	frère	m	Bruder	m	hermano	m	fratello	m	irmão	m	брат	m	أخ	m	भाई	m
brow	Eyebrow; forehead; edge of cliff; upper part.	sourcil	m	Augenbraue	f	ceja	f	sopracciglio	m	sobrancelha	f	бровь	f	حاجب	m	भौंह	m
brown	Color; tan; coffee; earth tone.	marron	m	Braun	n	marrón	m	marrone	m	marrom	m	коричневый	m	بني	m	भूरा	m
browse	To look through casually; graze; surf internet; skim.	navigation	f	Stöbern	n	navegación	f	navigazione	f	navegação	f	просмотр	m	تصفح	m	ब्राउज़िंग	f
bruise	Injury mark; contusion; to injure; discoloration.	bleu	m	Bluterguss	m	moretón	m	livido	m	hematoma	m	синяк	m	كدمة	f	नील निशान	m
brunch	Late morning meal; breakfast-lunch combination; weekend meal.	brunch	m	Brunch	m	brunch	m	brunch	m	brunch	m	бранч	m	برانتش	m	ब्रंच	m
brush	Tool; clean; paint; touch lightly.	brosse	f	Bürste	f	cepillo	m	spazzola	f	escova	f	щётка	f	فرشاة	f	ब्रश	m
brutality	Extreme cruelty; savagery; violence; harshness.	brutalité	f	Brutalität	f	brutaliodad	f	brutalià	f	brutacidad	f	жестокость	f	وحشية	f	क्रूरता	f
brute	Savage person; beast; violent creature; cruel person.	brute	f	Tier	n	bestia	f	bestia	f	bruto	m	зверь	m	وحش	m	जानवर	m
bubble	Air in liquid; soap sphere; economic boom; to boil.	bulle	f	Blase	f	burbuja	f	bolla	f	bolha	f	пузырь	m	فقاعة	f	बुलबुला	m
buck	Male deer; dollar; to resist; young man.	daim	m	Bock	m	ciervo	m	cervo	m	veado	m	олень	m	ظبي	m	हिरन	m
bucket	Container with handle; pail; large amount; to pour.	seau	m	Eimer	m	cubo	m	secchio	m	balde	m	ведро	n	دلو	m	बाल्टी	f
buckle	Belt fastener; to bend under pressure; shoe fastener; clasp.	boucle	f	Schnalle	f	hebilla	f	fibbia	f	fivela	f	пряжка	f	إبزيم	m	बकल	m
bud	Flower before opening; friend; beginning; sprout.	bourgeon	m	Knospe	f	brote	m	bocciolo	m	botão	m	почка	f	برعم	m	कली	f
buddhism	Eastern religion; dharma teaching; enlightenment path; Asian philosophy.	bouddhisme	m	Buddhismus	m	budismo	m	buddismo	m	budismo	m	буддизм	m	بوذية	f	बौद्ध धर्म	m
buddhist	A person who follows Buddhism; relating to Buddhism or Buddhists.	bouddhiste	m	Buddhist	m	budista	m	budddista	m	budista	m	буддист	m	بوذي	m	बौद्ध	m
buddy	A close friend; informal term of address for a man or boy.	copain	m	Kumpel	m	colega	m	amico	m	colega	m	приятель	m	صديق	m	दोस्त	m
budget	Plan; money allocation; spending plan; finance.	budget	m	Budget	n	presupuesto	m	bilancio	m	orçamento	m	бюджет	m	ميزانية	f	बजट	m
buff	Enthusiast; to polish; muscular; yellowish color.	passionné	m	Fan	m	entusiasta	m	appassionato	m	enttusiasta	m	любитель	m	متيم	m	शौकीन	m
buffalo	Large bovine animal; bison; water buffalo; American buffalo.	buffle	m	Büffel	m	búfalo	m	bufalo	m	búfalo	m	буйвол	m	جاموس	m	भैंस	m
bug	Insect; software error; listening device; to annoy.	insecte	m	Käfer	m	insecto	m	insetto	m	inseto	m	жук	m	حشرة	f	कीड़ा	m
build	Physique; body structure; physical form and size.	corporature	f	Körperbau	m	complexin	f	corporatura	f	compleichao	f	телосложение	n	بنية	f	निर्माण	m
builder	Construction worker; creator; developer; construction company.	constructeur	m	Baumeister	m	constructor	m	costruttore	m	construtor	m	строитель	m	بناء	m	निर्माता	m
building	Structure; construction; edifice; development.	bâtiment	m	Gebäude	n	edificio	m	edificio	m	edifício	m	здание	n	مبنى	m	भवन	m
bulgogi	Korean marinated beef dish; thin slices of beef in soy-based marinade.	bulgogi	m	Bulgogi	n	bulgogi	m	bulgogi	m	bulgogi	m	бульгоги	m	بولغوغي	m	बुलगोगी	m
bulk	Large size; majority; mass; wholesale quantity.	volume	m	Masse	f	volumen	m	volume	m	volume	m	объём	m	حجم	m	मात्रा	f
bull	Male cattle; aggressive person; stock market rise; papal decree.	taureau	m	Bulle	m	toro	m	toro	m	touro	m	бык	m	ثور	m	साँड़	m
bullet	A projectile fired from a gun.	balle	f	Kugel	f	bala	f	proiettile	m	bala	f	пуля	f	رصاصة	f	गोली	f
bum	Buttocks; homeless person; lazy person.	fesses	f	Po	m	trasero	m	sedere	m	bunda	f	попа	f	مؤخرة	f	नितंब	m
bun	Small bread; hair style; sweet roll; hamburger bread.	petit pain	m	Brötchen	n	bollo	m	panino	m	pãozinho	m	булочка	f	كعكة	f	बन	m
bunch	A number of things growing or fastened together.	botte	f	Bündel	n	grupo	m	grappolo	m	grupo	m	пучок	m	حزمة	f	गुच्छा	m
burden	Load; responsibility; weight; hardship.	fardeau	m	Last	f	carga	f	carico	m	carga	f	бремя	n	عبء	m	भार	m
bureau	Office; department; chest of drawers; agency.	bureau	m	Büro	n	oficina	f	ufficio	m	escritório	m	бюро	n	مكتب	m	कार्यालय	m
bureaucracy	System of government by officials; excessive red tape and inefficiency.	bureaucratie	f	Bürokratie	f	burocracia	f	burocrazia	f	burocracia	f	бюрократия	f	بيروقراطية	f	नौकरशाही	f
burial	Funeral interment; grave placement; burying; entombment.	enterrement	m	Begräbnis	n	entierro	m	sepoltura	f	enterro	m	похороны	m	دفن	m	दफन	m
burn	Fire; injury; destroy; consume.	brûlure	f	Verbrennung	f	quemadura	f	bruciatura	f	queimadura	f	ожог	m	حرق	m	जलन	m
bus	Vehicle; transport; public transit; coach.	bus	m	Bus	m	autobús	m	autobus	m	ônibus	m	автобус	m	حافلة	f	बस	f
bush	Shrub; wild area; thick growth; small tree.	buisson	m	Busch	m	arbusto	m	cespuglio	m	arbusto	m	куст	m	شجيرة	f	झाड़ी	f
business	Commerce; company; trade; affair.	affaires	f	Geschäft	n	negocio	m	affari	m	negócio	m	бизнес	m	أعمال	f	व्यवसाय	m
businessperson	Person engaged in commercial or industrial business; entrepreneur.	homme d'affaires	m	Geschäftsmann	m	empresario	m	uomo d'affari	m	empresário	m	бизнесмен	m	رجل أعمال	m	व्यवसायी	m
bustle	Busy activity; hurried movement; dress padding; commotion.	agitation	f	Trubel	m	bullicio	m	trambusto	m	alvoroço	m	суета	f	ضجيج	m	कोलाहल	m
but	Exception or objection; the end or thick part of something.	exception	f	Ausnahme	f	excepción	f	eccezione	f	exceção	f	исключение	n	استثناء	m	अपवाद	m
butler	Chief male servant; household manager; wine steward.	majordome	m	Butler	m	mayordomo	m	maggiordomo	m	mordomo	m	дворецкий	m	خادم	m	खानसामा	m
butt	Buttocks; thicker end of something; target of jokes or criticism.	fesses	f	Hintern	m	trasero	m	sedere	m	bunda	f	попа	f	مؤخرة	f	नितंब	m
butter	Dairy spread; churned cream; cooking fat; yellow spread.	beurre	m	Butter	f	mantequilla	f	burro	m	manteiga	f	масло	n	زبدة	f	मख्खन	m
butterfly	Winged insect; colorful flyer; swimming stroke; metamorphosis insect.	papillon	m	Schmetterling	m	mariposa	f	farfalla	f	borboleta	f	бабочка	f	فراشة	f	तितली	f
button	Fastener; switch; control; badge.	bouton	m	Knopf	m	botón	m	bottone	m	botão	m	кнопка	f	زر	m	बटन	m
buyer	A person who purchases something.	acheteur	m	Käufer	m	comprador	m	compratore	m	comprador	m	покупатель	m	مشترٍ	m	खरीदार	m
buyout	Purchase of controlling interest in company; acquisition of business.	rachat	m	Aufkauf	m	compra	f	acquisizione	f	compra	f	выкуп	m	استحواذ	m	खरीद	m
buzz	Humming sound; excitement; to vibrate; bee sound.	bourdonnement	m	Summen	n	zumbido	m	ronzio	m	zumbido	m	гудение	n	أزيز	m	गुनगुनाहट	m
cabbage	Leafy vegetable; round vegetable; green vegetable; cole crop.	chou	m	Kohl	m	col	f	cavolo	m	repolho	m	капуста	f	ملفوف	m	पत्तागोभी	m
cabinet	Cupboard; government; storage; ministry.	cabinet	m	Schrank	m	gabinete	m	mobile	m	gabinete	m	кабинет	m	خزانة	f	अलमारी	f
cable	Wire; rope; television; communication.	câble	m	Kabel	n	cable	m	cavo	m	cabo	m	кабель	m	كابل	m	तार	m
cactus	Desert plant; spiny plant; succulent; water-storing plant.	cactus	m	Kaktus	m	cactus	m	cactus	m	cacto	m	кактус	m	صبار	m	नागफनी	f
cadet	Young trainee in military or police academy; junior member.	élève officier	m	Kadett	m	cadete	m	allievo	m	cadete	m	кадет	m	طالب ضابط	m	कैडेट	m
cafe	Coffee shop; small restaurant; casual eatery; bistro.	café	m	Café	n	café	m	bar	m	café	m	кафе	n	مقهى	m	कैफे	m
cage	Enclosure for animals; prison; protective frame; to confine.	cage	f	Käfig	m	jaula	f	gabbia	f	gaiola	f	клетка	f	قفص	m	पिंजरा	m
cake	Dessert; sweet; celebration; pastry.	gâteau	m	Kuchen	m	pastel	m	torta	f	bolo	m	торт	m	كعكة	f	केक	m
cakewalk	Very easy task; something accomplished with little effort.	jeu d'enfant	m	Kinderspiel	n	pan comido	m	gioco da ragazzi	m	moleza	f	лёгкая походка	f	أمر سهل	m	आसान काम	m
calamity	Disaster; catastrophe; great misfortune; tragedy.	calamité	f	Kalamität	f	calamidad	f	calamità	f	calamidade	f	бедствие	n	نكبة	f	आपदा	f
calcium	Bone mineral; chemical element; white metal; dairy nutrient.	calcium	m	Kalzium	n	calcio	m	calcio	m	cálcio	m	кальций	m	كالسيوم	m	कैल्शियम	m
calculation	Computation; math; estimate; planning.	calcul	m	Berechnung	f	cálculo	m	calcolo	m	cálculo	m	вычисление	n	حساب	m	गणना	f
calculus	Branch of mathematics dealing with derivatives and integrals; medical deposit.	calcul différentiel	m	Differentialrechnung	f	cálculo	m	calcolo	m	cálculo	m	математический анализ	m	حساب التفاضل	m	कैलकुलस	m
calendar	Date system; schedule; planner; almanac.	calendrier	m	Kalender	m	calendario	m	calendario	m	calendário	m	календарь	m	تقويم	m	कैलेण्डर	m
calf	Young cow; leg muscle; baby cattle; lower leg.	veau	m	Kalb	n	ternero	m	vitello	m	bezerro	m	телёнок	m	عجل	m	बछड़ा	m
california	US west coast state; Golden State; Pacific state; largest US state.	Californie	f	Kalifornien	n	California	f	California	f	Califórnia	f	Калифорния	f	كاليفورنيا	f	कैलिफोर्निया	m
call	Shout; telephone conversation; to shout or telephone someone.	appel	m	Anruf	m	llamada	f	chiamata	f	chamada	f	звонок	m	مكالمة	f	कॉल	m
calm	Peace; quiet; stillness; tranquil.	calme	m	Ruhe	f	calma	f	calma	f	calma	f	спокойствие	n	هدوء	m	शांति	f
camel	Desert animal; humped mammal; ship of desert; pack animal.	chameau	m	Kamel	n	camello	m	cammello	m	camelo	m	верблюд	m	جمل	m	ऊँट	m
camera	Photo device; recorder; lens; equipment.	appareil photo	m	Kamera	f	cámara	f	macchina fotografica	f	câmera	f	фотоаппарат	m	كاميرا	f	कैमरा	m
camp	Site; temporary home; group; faction.	camp	m	Lager	n	campamento	m	campo	m	acampamento	m	лагерь	m	مخيم	m	शिविर	m
campaign	Effort; drive; election; promotion.	campagne	f	Kampagne	f	campaña	f	campagna	f	campanha	f	кампания	f	حملة	f	अभियान	m
campus	School grounds; university; college; site.	campus	m	Campus	m	campus	m	campus	m	câmpus	m	кампус	m	حرم جامعي	m	परिसर	m
can	Container; ability; tin; preserve.	boîte	f	Dose	f	lata	f	scatoletta	f	lata	f	банка	f	علبة	f	डिब्बा	m
canada	North American country; northern neighbor of US; Commonwealth nation.	Canada	m	Kanada	n	Canadá	m	Canada	m	Canadá	m	Канада	f	كندا	f	कनाडा	m
canal	Artificial waterway; channel; water passage; irrigation ditch.	canal	m	Kanal	m	canal	m	canale	m	canal	m	канал	m	قناة	f	नहर	f
canary	Yellow songbird; warning signal; mine detector; cage bird.	canari	m	Kanarienvogel	m	canario	m	canarino	m	canário	m	канарейка	f	كناري	m	कैनेरी	m
cancel	Postal mark showing postage paid; to call off or annul.	annulation	f	Stornierung	f	cancelación	f	annullamento	m	cancelamento	m	отмена	f	إلغاء	m	रद्दीकरण	m
cancellation	Act of calling off or annulling; postal marking; reservation withdrawal.	annulation	f	Stornierung	f	cancelación	f	annullamento	m	cancelamento	m	отмена	f	إلغاء	m	रद्दीकरण	m
cancer	Disease; tumor; malignancy; illness.	cancer	m	Krebs	m	cáncer	m	cancro	m	câncer	m	рак	m	سرطان	m	कैंसर	m
candidate	Applicant; nominee; contender; prospect.	candidat	m	Kandidat	m	candidato	m	candidato	m	candidato	m	кандидат	m	مرشح	m	उम्मीदवार	m
candle	Wax light source; flame stick; burning wick; romantic light.	bougie	f	Kerze	f	vela	f	candela	f	vela	f	свеча	f	شمعة	f	मोमबत्ती	f
candy	Sweet confection; sugar treat; sweets; confectionery.	bonbon	m	Süßigkeit	f	dulce	m	dolce	m	doce	m	конфета	f	حلوى	f	मिठाई	f
cane	Walking stick; sugar plant; bamboo rod; support stick.	canne	f	Stock	m	bastón	m	bastoncino	m	bengala	f	трость	f	عصا	f	बेंत	m
canoe	Small boat; paddle boat; narrow vessel; light watercraft.	canoë	m	Kanu	n	canoa	f	canoa	f	canoa	f	каноэ	n	زورق	m	डोंगी	f
canon	Church law; accepted works; standard; musical round.	canon	m	Kanon	m	cánon	m	canone	m	cânon	m	канон	m	قانون	m	कैनन	m
canopy	Overhead covering; tree top layer; awning; shelter.	baldaquin	m	Baldachin	m	toldo	m	baldacchino	m	toldo	m	навес	m	مظلة	f	छत्र	m
canvas	Painting cloth; strong fabric; tent material; artistic surface.	toile	f	Leinwand	f	lienzo	m	tela	f	tela	f	холст	m	قماش	m	कैनवास	m
canyon	Deep valley; gorge; ravine; steep-sided valley.	canyon	m	Schlucht	f	cañón	m	canyon	m	canhão	m	каньон	m	وادي	m	घाटी	f
cap	Hat; cover; limit; top.	casquette	f	Mütze	f	gorra	f	berretto	m	boné	m	кепка	f	قبعة	f	टोपी	f
capability	Ability; capacity; skill; power.	capacité	f	Fähigkeit	f	capacidad	f	capacità	f	capacidade	f	способность	f	قدرة	f	क्षमता	f
capacitance	Ability to store electrical charge; measure of electrical capacity.	capacité	f	Kapazität	f	capacidad	f	capacità	f	capacitância	f	ёмкость	f	سعة	f	धारिता	f
capacity	Volume; ability; role; maximum.	capacité	f	Kapazität	f	capacidad	f	capacità	f	capacidade	f	ёмкость	f	سعة	f	क्षमता	f
cape	Sleeveless cloak; land jutting into sea; promontory.	cape	f	Kap	n	cabo	m	capo	m	cabo	m	мыс	m	رأس	m	अंतरीप	m
capital	City; money; investment; major.	capitale	f	Hauptstadt	f	capital	f	capitale	f	capital	f	столица	f	عاصمة	f	राजधानी	f
capitalism	Economic system; private ownership; free market; business system.	capitalisme	m	Kapitalismus	m	capitalismo	m	capitalismo	m	capitalismo	m	капитализм	m	رأسمالية	f	पूंजीवाद	m
captain	Leader; commander; officer; skipper.	capitaine	m	Kapitän	m	capitán	m	capitano	m	capitão	m	капитан	m	قبطان	m	कप्तान	m
capture	To catch; seize; photograph; arrest.	capture	f	Erfassung	f	captura	f	cattura	f	captura	f	захват	m	أسر	m	पकड़	f
car	Car; automobile; vehicle; motor.	voiture	f	Auto	n	coche	m	macchina	f	carro	m	машина	f	سيارة	f	कार	f
carbon	Chemical element; coal substance; life element; black element.	carbone	m	Kohlenstoff	m	carbono	m	carbonio	m	carbono	m	углерод	m	كربون	m	कार्बन	m
card	Playing card; credit card; greeting; identity.	carte	f	Karte	f	tarjeta	f	carta	f	cartão	m	карта	f	بطاقة	f	कार्ड	m
cardinal	High-ranking Catholic official.	cardinal	m	Kardinal	m	cardinal	m	cardinale	m	cardeal	m	кардинал	m	كردينال	m	कार्डिनल	m
care	Attention; concern; treatment; worry.	soin	m	Pflege	f	cuidado	m	cura	f	cuidado	m	забота	f	رعاية	f	देखभाल	f
career	Profession; job; work life; occupation.	carrière	f	Karriere	f	carrera	f	carriera	f	carreira	f	карьера	f	مهنة	f	कैरियर	m
cargo	Freight; load; shipment; goods.	cargaison	f	Fracht	f	carga	f	carico	m	carga	f	груз	m	شحنة	f	कार्गो	m
caricature	Exaggerated drawing or description.	caricature	f	Karikatur	f	caricatura	f	caricatura	f	caricatura	f	карикатура	f	كاريكاتير	m	कैरिकेचर	m
